0	0.0176935
0.05	0.0627549
0.1	0.114708
0.15	0.269413
0.2	0.766636
0.25	1.10511
0.3	1.45247
0.35	1.6727
0.4	1.7778
0.45	1.7986
0.5	1.74785
0.55	1.69289
0.6	1.71061
0.65	1.71886
0.7	1.68475
0.75	1.73485
0.8	1.63802
0.85	1.58113
0.9	1.6552
0.95	1.77378
1	1.76395
1.05	1.83138
1.1	1.74676
1.15	1.70507
1.2	1.53607
1.25	1.59981
1.3	1.40651
1.35	1.44501
1.4	1.2073
1.45	1.10291
1.5	1.02333
1.55	0.970405
1.6	1.06332
1.65	1.04396
1.7	1.00891
1.75	0.967224
1.8	0.914091
1.85	0.819276
1.9	0.788351
1.95	0.682787
2	0.572849
2.05	0.514595
2.1	0.384957
2.15	0.435238
2.2	0.411378
2.25	0.377655
2.3	0.389641
2.35	0.342464
2.4	0.408624
2.45	0.445537
2.5	0.421642
2.55	0.468793
2.6	0.435972
2.65	0.448721
2.7	0.520604
2.75	0.520038
2.8	0.458366
2.85	0.550062
2.9	0.567809
2.95	0.474464
3	0.514811
3.05	0.501218
3.1	0.481987
3.15	0.437649
3.2	0.5011
3.25	0.588702
3.3	0.641203
3.35	0.606559
3.4	0.59522
3.45	0.614223
3.5	0.530544
3.55	0.576696
3.6	0.457267
3.65	0.601268
3.7	0.513609
3.75	0.486701
3.8	0.531417
3.85	0.527672
3.9	0.497888
3.95	0.522436
4	0.441308
4.05	0.433187
4.1	0.430911
4.15	0.547948
4.2	0.352133
4.25	0.337511
4.3	0.403807
4.35	0.382574
4.4	0.488039
4.45	0.458153
4.5	0.452054
4.55	0.533071
4.6	0.522993
4.65	0.59582
4.7	0.50719
4.75	0.477364
4.8	0.581468
4.85	0.459718
4.9	0.392487
4.95	0.569061
5	0.462516
5.05	0.56043
5.1	0.342174
5.15	0.235143
5.2	0.487796
5.25	0.603516
5.3	0.679351
5.35	0.555098
5.4	1.00438
5.45	0.627403
5.5	0.669575
5.55	0.356668
5.6	0.42139
5.65	0.397857
5.7	1.05777
5.75	0.691153
5.8	0.642862
5.85	0.928337
5.9	0.208701
5.95	0.649886
6	0.939535
6.05	1.26902
6.1	1.0456
6.15	0.280491
6.2	0.304306
6.25	1.02979
6.3	0.745246
6.35	0.416966
6.4	0.484766
